,precision,recall,f1-score,support
Negative,0.7101687937422808,0.8132956152758133,0.7582417582417582,4242.0
Neutral,0.7412280701754386,0.5397793263646922,0.6246639784946236,3444.0
Positive,0.6953801732435033,0.7533889468196038,0.7232232232232232,3836.0
accuracy,0.7115952091650755,0.7115952091650755,0.7115952091650755,0.7115952091650755
macro avg,0.7155923457204075,0.702154629486703,0.7020429866532018,11522.0
weighted avg,0.7145290610398406,0.7115952091650755,0.7066558379344997,11522.0
