,precision,recall,f1-score,support
Negative,0.7680264608599779,0.8210749646393211,0.7936652614788652,4242.0
Neutral,0.7494290375203915,0.6669570267131243,0.7057919803349209,3444.0
Positive,0.7511473737888832,0.7679874869655892,0.7594740912606341,3836.0
accuracy,0.7573337962159348,0.7573337962159348,0.7573337962159348,0.7573337962159348
macro avg,0.7562009573897509,0.7520064927726781,0.7529771110248067,11522.0
weighted avg,0.7568480453083154,0.7573337962159348,0.7560161633000005,11522.0
